Common_Name,Species,Genus,Group_Size,Seasonal_Breeding,Mating_System,Reproductive_Age,Male_Rank_Bias,Male_Care,Alloparenting,Male_Homosexuality,Female_Homosexuality,Transgender,Sociosexual_Behavior,Only_observed_in_captivity,Sampling_Size,References_,,,
Rhesus_macaque,Macaca_mulatta,Macaca,3,1,2,2,0,0,2,1,1,1,0,0,30300,"Curie-Cohen,+M.,+Yoshihara,+D.,+Luttrell,+L.,+Benforado,+K.,+MacCluer,+J.W.+and+Stone,+W.H.+1983,+The+effects+of+dominance+on+mating+behavior+and+paternity+in+a+captive+troop+of+rhesus+monkeys+Macaca+mulatta.+Am.+J.+Primatol.,+5:+127-138.+https://doi.org/10.1002/ajp.1350050204","Clive,+J.,+Flintham,+E.+&+Savolainen,+V.+Same-sex+sociosexual+behaviour+is+widespread+and+heritable+in+male+rhesus+macaques.+Nat+Ecol+Evol+7,+1287–1301+2023.+https://doi.org/10.1038/s41559-023-02111-y","Lee,+D.+S.,+Kang,+Y.+H.+R.,+Ruiz-Lambides,+A.+V.,+&+Higham,+J.+P.+2021.+The+observed+pattern+and+hidden+process+of+female+reproductive+trajectories+across+the+life+span+in+a+non-human+primate.+Journal+of+Animal+Ecology,+9012,+2901–2914.+https://doi.org/10.1111/1365-2656.13590","Wilson,+M.E.,+Gordon,+T.P.+and+Chikazawa,+D.+1982,+Female+mating+relationships+in+rhesus+monkeys.+Am.+J.+Primatol.,+2:+21-27.+https://doi.org/10.1002/ajp.1350020104"
Japanese_macaque,Macaca_fuscata,Macaca,3,1,2,2,0,1,2,1,1,0,0,0,9310,"Vasey,+P.L.,+Foroud,+A.,+Duckworth,+N.+et+al.+Male–Female+and+Female–Female+Mounting+in+Japanese+Macaques:+A+Comparative+Study+of+Posture+and+Movement.+Arch+Sex+Behav+35,+116–128+2006.+https://doi.org/10.1007/s10508-005-9007-1","Soltis,+J.+Measuring+male-female+relationships+during+the+mating+season+in+wild+Japanese+macaques+Macaca+fuscata+yakui.+Primates+40,+453–467+1999.+https://doi.org/10.1007/BF02557581","Leca,+JB.,+Gunst,+N.+&+Vasey,+P.L.+Male+Homosexual+Behavior+in+a+Free-Ranging+All-Male+Group+of+Japanese+Macaques+at+Minoo,+Japan.+Arch+Sex+Behav+43,+853–861+2014.+https://doi.org/10.1007/s10508-014-0310-6","Nakamichi,+M.,+Ueno,+M.+&+Yamada,+K.+Male+care+in+a+free-ranging+group+of+Japanese+macaques+Macaca+fuscata.+Primates+62,+971–980+2021.+https://doi.org/10.1007/s10329-021-00948-0"
Crab-eating_macaque,Macaca_fascicularis,Macaca,2+3,1,2,1,1,0,2,1,1,0,0,0,14500,"van+Schaik+CP,+Van+Noordwijk+MA,+de+Boer+RJ,+den+Tonkelaar+I+1983+The+effect+of+group+size+on+time+budgets+and+social+behaviour+in+wild+long-tailed+macaques+Macaca+fascicularis.+Behav+Ecol+Sociobiol+133:173–181.+https://doi.org/10.1007/BF00299920","De+Ruiter,+J.+R.,+Van+Hooff,+J.+A.+R.+A.+M.,+&+Scheffrahn,+W.+1994.+Social+and+Genetic+Aspects+of+Paternity+in+Wild+Long-Tailed+Macaques+Macaca+Fascicularis.+Behaviour,+1293,+203–224.+doi:10.1163/156853994x00613+",Sabanal+B+et+al.+2023.+Field+Observations+of+Same-sex+Non-reproductive+Mounts+in+Adult+Male+Philippine+Long-tailed+Macaques+Macaca+fascicularis.+Philipp+J+Sci+1525:+2027–2030.+https://doi.org/10.56899/152.05.40,
Barbary_macaque,Macaca_sylvanus,Macaca,2+3,1,2,2,1,2,2,1,1,0,1,0,3830,"Small,+M.+F.+1990.+Alloparental+behaviour+in+Barbary+macaques,+Macaca+sylvanus.+Animal+Behaviour,+392,+297–306.+https://doi.org/10.1016/S0003-34720580874-7","Fooden,+J.+2007.+Systematic+review+of+the+Barbary+macaque,+Macaca+sylvanus+Linnaeus,+1758.+FIELD+MUSEUM+OF+NATURAL+HISTORY.+https://archive.org/details/systematicreview00food/page/42/mode/2up?view=theater","Faraut,+L.,+Northwood,+A.,+&+Majolo,+B.+2015.+The+functions+of+non-reproductive+mounts+among+male+Barbary+macaques+Macaca+sylvanus.+American+Journal+of+Primatology,+7711,+1149–1157.+doi:10.1002/ajp.22451",
Moor_macaque,Macaca_maura,Macaca,2+3,0,1,2,1,?,1,1,1,0,1,0,189,"Okamoto,+K.,+Matsumura,+S.,+&+Watanabe,+K.+2000.+Life+history+and+demography+of+wild+moor+macaques+Macaca+maurus:+Summary+of+ten+years+of+observations.+American+Journal+of+Primatology,+521,+1–11.","Matsumura,+S.+Female+reproductive+cycles+and+the+sexual+behavior+of+moor+macaques+Macaca+maurus+in+their+natural+habitat,+South+Sulawesi,+Indonesia.+Primates+34,+99–103+1993.+https://doi.org/10.1007/BF02381286",,
Celebes_crested_macaque,Macaca_nigra,Macaca,1+2,0,3,2,1,0,1,1,1,0,0+1,0,1470,"Duboscq,+J.,+Micheletta,+J.+Macaca+nigra+in+the+Spotlight:+Accounting+for+Diversity+in+Behavior,+Ecology,+and+Conservation+in+Primates.+Int+J+Primatol+44,+1026–1041+2023.+https://doi.org/10.1007/s10764-023-00386-3","Duboscq,+J.,+Neumann,+C.,+Agil,+M.,+Perwitasari-Farajallah,+D.,+Thierry,+B.,+&+Engelhardt,+A.+2017.+Degrees+of+freedom+in+social+bonds+of+crested+macaque+females.+Animal+Behaviour,+123,+411–426.+https://doi.org/10.1016/j.anbehav.2016.11.010","Tyrrell,+M.,+Berman,+C.+M.,+Duboscq,+J.,+Agil,+M.,+Sutrisno,+T.,+&+Engelhardt,+A.+2020.+Avoidant+social+style+among+wild+crested+macaque+males+Macaca+nigra+in+Tangkoko+Nature+Reserve,+Sulawesi,+Indonesia.+Behaviour,+1575,+451–491.+https://doi.org/10.1163/1568539X-bja10009","Higham,+J.P.,+Heistermann,+M.,+Agil,+M.+et+al.+Female+fertile+phase+synchrony,+and+male+mating+and+reproductive+skew,+in+the+crested+macaque.+Sci+Rep+11,+4251+2021.+https://doi.org/10.1038/s41598-021-81163-1"
Southern_pig-tailed_macaque,Macaca_nemestrina,Macaca,2+3,0,3,1,1,0,2,1,1,0,0+1,0,5150,"Clare+Quinlan,+K.+2020,+September.+Southern+Pig-Tailed+Macaque,+Macaca+nemestrina.+Northeast+Primate+Conservancy.+https://neprimateconservancy.org/southern-pig-tailed-macaque/","Rowe,+N.+1996.+Pictorial+Guide+to+the+Living+Primates.+East+Hampton,+NY:+Pogonias+Press.",,
Stump-tailed_macaque,Macaca_arctoides,Macaca,3,1,3,1,1,0,1,1,1,0,0+1,0,2660,"Erfurth,+C.+2008.+""Macaca+arctoides""+On-line,+Animal+Diversity+Web.+Accessed+August+15,+2025+at+https://animaldiversity.org/accounts/Macaca_arctoides","Chevalier-Skolnikoff,+S.+Male-Female,+Female-Female,+and+Male-Male+sexual+behavior+in+the+stumptail+monkey,+with+special+attention+to+the+female+orgasm.+Arch+Sex+Behav+3,+95–116+1974.+https://doi.org/10.1007/BF01540994",,
Toque_macaque,Macaca_sinica,Macaca,3,1,3,2,0,1,1,0,0,0,NA,0,926,"Kanelos,+M.+2009.+""Macaca+sinica""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Macaca_sinica/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Liontail_macaque,Macaca_silenus,Macaca,2+3,0,1,2,1,0,1,1,1,0,1,0,1480,"Strawder,+N.+2001.+""Macaca+silenus""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Macaca_silenus/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
